token;rating;type;language
if;60;;en
whenever;40;;en
whereever;20;;en
in case that;15;;en
granted that;15;;en
conceding that;20;;en
the condition that;55;;en
then;60;;en
again;40;;en
later;75;;en
next;80;;en
at that time;35;;en
on the occasion;20;;en
thereupon;30;;en
when;30;;en
shall;70;;en
must;95;;en
be about to;15;;en
will;20;;en
else;55;;en
otherwise;40;;en
be obliged;30;;en
have to;60;;en
have got to;45;;en
has;40;;en
additonal;20;;en
in addition;15;;en
afterwards;20;;en
later;30;;en
after;40;;en
afterawhile;10;;en
coming up;15;;en
following;25;;en
subsequently;10;;en
thereafter;15;;en
meanwhile;20;;en
happen;30;;en
respond;15;;en
repeats;40;;en
fills;50;;en
while;20;;en
skal;80;;da
må;50;;da
bagefter;70;;da
før;10;;da
derefter;50;;da
dernæst;50;;da
hvis;40;;da
når;40;;da
senere;60;;da
ellers;20;;da
imens;20;;da